reflectance,latitude,longitude
14.176240206161603,45.2335676,-111.477199
11.502333039312742,45.2336467,-111.4774781
11.929010080298859,45.2335799,-111.4775499
11.768447003056776,45.233467,-111.4776118
12.592120849350188,45.2333451,-111.477682
12.195833388339498,45.2332242,-111.4777511
13.506240084313978,45.233104,-111.477821
14.16655407797359,45.2329844,-111.4778911
14.683129042349846,45.2328639,-111.4779601
13.90572146912315,45.2327452,-111.4780287
12.631340416802328,45.2326262,-111.4780981
13.215888920425995,45.2325051,-111.4781668
11.55429529760528,45.2323852,-111.4782369
11.70374875734115,45.2322647,-111.4783061
12.730162313533445,45.2321432,-111.4783761
12.542173451408829,45.2320257,-111.4784449
11.946201368570149,45.2319307,-111.4784893
11.810628119126466,45.2318776,-111.4783749
13.2795899916092,45.2319261,-111.4782884
12.36861559814683,45.2320304,-111.4782321
11.735093565906661,45.2321523,-111.4781662
11.793079479158166,45.2322721,-111.4780975
11.791928843623172,45.2323922,-111.4780307
12.098411515310453,45.2325125,-111.477963
11.96733322294119,45.2326324,-111.4778974
12.447946491733664,45.2327527,-111.4778308
12.869335355071252,45.2328752,-111.4777644
13.01114058527865,45.2329951,-111.4776956
12.880579122402258,45.2331158,-111.4776285
12.182594048563287,45.233236,-111.4775611
12.755079968945187,45.2333565,-111.4774935
12.811908176182218,45.2334764,-111.4774247
11.218686807469858,45.2335765,-111.4773648
10.028575920913468,45.2335894,-111.4772491
12.499867868743983,45.2335264,-111.4771932
10.92864940526976,45.2334253,-111.4772584
11.089477008763616,45.2333069,-111.4773263
11.412319625625614,45.2331872,-111.4773937
11.9613372007638,45.2330663,-111.4774591
11.97743431034166,45.2329453,-111.4775278
12.25388288594655,45.2328251,-111.4775956
12.230157273281435,45.2327042,-111.4776637
11.571887644317437,45.2325828,-111.4777315
11.123983658514788,45.2324638,-111.4777993
10.243567966063265,45.2323433,-111.4778668
10.53312427651162,45.2322234,-111.4779331
10.770764922937639,45.2321034,-111.4780025
10.616039084509296,45.231983,-111.4780711
9.832481026772955,45.2318779,-111.4781289
8.513090090934558,45.231805,-111.4781021
11.284086583226479,45.2317922,-111.47798
9.693362323332687,45.231881,-111.4779356
9.724364532528321,45.2319973,-111.4778707
9.879382071554772,45.2321172,-111.4778023
10.01104643904707,45.2322373,-111.4777353
9.39259866336797,45.2323575,-111.477667
12.518356673569375,45.2324764,-111.4775988
9.968247860095218,45.2325961,-111.4775297
10.196988263570198,45.2327162,-111.4774609
10.344251164981861,45.2328357,-111.4773922
10.385207415639513,45.2329569,-111.4773249
10.38559131794878,45.2330763,-111.4772544
10.135880300577176,45.233196,-111.4771852
11.066343095698935,45.2333147,-111.4771169
9.22042283498409,45.2334289,-111.4770483
7.706929240993311,45.233509,-111.4769817
9.488188158696948,45.2334722,-111.4768432
9.487853377887935,45.2333876,-111.4768715
9.133697027495764,45.2332753,-111.4769399
9.637903066829354,45.2331552,-111.4770068
9.9711933713261,45.2330349,-111.4770772
9.654020359708637,45.2329126,-111.4771461
10.004985494834745,45.232793,-111.4772147
9.430539415415971,45.2326724,-111.4772842
10.10197042267311,45.2325531,-111.4773506
8.779749326892645,45.232433,-111.4774188
8.234922372898968,45.2323134,-111.4774883
7.979560750883179,45.2321945,-111.4775578
8.150712311782225,45.2320756,-111.4776248
8.28919928312077,45.2319562,-111.4776934
8.397842526026048,45.2318368,-111.477761
8.128548482287547,45.2317373,-111.4778063
7.638808429111199,45.2316814,-111.4777035
9.067687664658273,45.231724,-111.4776138
7.938973850378729,45.2318269,-111.4775567
8.373391748390759,45.2319462,-111.4774875
8.2415406308154,45.232067,-111.4774193
8.626910280146234,45.2321866,-111.4773525
8.463206346244782,45.2323062,-111.4772852
7.705699486145333,45.2324273,-111.4772183
8.925763965501114,45.2325474,-111.4771471
8.523045242933886,45.232668,-111.4770805
8.814316043456271,45.2327883,-111.4770113
9.076816732397937,45.232908,-111.4769432
8.967164121773955,45.2330291,-111.4768758
9.279305209534906,45.2331498,-111.4768083
9.182414587793994,45.2332702,-111.4767387
8.952710707691535,45.2333728,-111.4766804
6.933228240168902,45.233409,-111.4765857
10.635155704805005,45.2333511,-111.4764954
9.063123683952364,45.2332529,-111.4765461
9.69500126233898,45.2331351,-111.4766166
9.768715786794747,45.2330156,-111.4766859
9.20813783620693,45.2328954,-111.4767538
9.45925042857692,45.2327754,-111.4768221
8.897998577132908,45.2326542,-111.4768904
8.556192637893014,45.2325342,-111.4769604
8.825239360404343,45.2324142,-111.4770283
8.929522127625773,45.2322935,-111.4770966
9.215517006742475,45.2321741,-111.4771643
9.599691352210584,45.2320536,-111.4772337
9.782954751453184,45.2319341,-111.4773025
9.673474404792398,45.2318133,-111.4773712
9.34885197163068,45.2316998,-111.4774355
7.6450784842695585,45.2316135,-111.4774604
10.4616723790715,45.231577,-111.4773181
9.592322734753228,45.231654,-111.477261
9.18213311440984,45.2317658,-111.4771975
9.737851255241086,45.2318835,-111.4771268
9.517296420435002,45.2320029,-111.4770586
9.595744372592959,45.2321224,-111.4769895
9.338739481961596,45.2322407,-111.4769199
9.413225139975696,45.2323609,-111.4768518
9.07628707230271,45.2324801,-111.4767828
9.3908693235221,45.2325992,-111.4767138
9.917554767684257,45.2327178,-111.4766436
10.03129865444821,45.2328381,-111.4765747
10.13230429999898,45.2329578,-111.4765063
10.757500911294619,45.2330777,-111.4764383
10.203663865855393,45.2331974,-111.4763703
11.150838084935248,45.2332953,-111.4763191
8.28034673123676,45.2333019,-111.4762026
11.532699080174961,45.2332353,-111.4761466
11.121717678303373,45.233132,-111.4762016
11.581369530157016,45.2330128,-111.4762735
11.13650125824802,45.2328936,-111.4763455
11.118340598278337,45.2327744,-111.4764157
10.30391263998819,45.2326563,-111.4764836
9.929269111206494,45.2325365,-111.4765535
10.479952805825874,45.2324163,-111.4766229
10.604575166272307,45.2322955,-111.4766942
11.433424854529552,45.2321773,-111.4767641
10.663664045856175,45.2320598,-111.4768341
11.837320923501933,45.2319395,-111.4769041
10.248107405309872,45.2318213,-111.4769736
10.581012030099519,45.2317026,-111.4770447
9.968719302233655,45.2315928,-111.4771082
7.942381818004682,45.2315109,-111.4771051
12.351140858577041,45.2314841,-111.4769702
10.8725636210673,45.2315683,-111.4769126
10.528029452705963,45.2316848,-111.4768459
10.729771335692485,45.2318037,-111.4767762
11.17044232649035,45.2319227,-111.4767069
10.553689311044101,45.2320426,-111.4766385
10.423526831252323,45.2321616,-111.47657
10.017056077089226,45.23228,-111.4765003
9.558230982039422,45.2324008,-111.4764327
10.2145920504455,45.2325202,-111.4763641
10.335086980389944,45.232639,-111.4762959
11.032424631536097,45.2327577,-111.4762252
11.345213398649195,45.2328772,-111.4761574
10.410257436726734,45.2329976,-111.4760914
10.153335670082653,45.2331168,-111.476022
10.106105119074636,45.2332122,-111.4759747
8.51494726061652,45.2332093,-111.4758439
10.204439014066669,45.2331391,-111.4758169
9.956010107353048,45.2330353,-111.4758794
10.112570700673087,45.2329147,-111.4759484
9.72089090234874,45.2327949,-111.4760174
9.428169107291835,45.2326736,-111.4760844
9.733073844879783,45.2325522,-111.4761532
10.173898415737654,45.2324315,-111.4762231
9.526448741953516,45.2323122,-111.476291
9.434024990395,45.232191,-111.4763611
9.386474779536085,45.2320706,-111.4764298
9.550749517733049,45.2319509,-111.4764994
9.76918611011897,45.2318315,-111.4765666
10.566594275520917,45.231711,-111.4766359
10.713569216193958,45.2315905,-111.4767063
10.960663651608659,45.2314839,-111.4767697
7.688539492378876,45.2314068,-111.4767666
13.425395906101913,45.2313836,-111.4766268
9.853065193305987,45.2314677,-111.4765799
10.242827818813772,45.2315822,-111.4765155
10.487778804767458,45.2317028,-111.4764467
10.208690528017055,45.2318211,-111.4763771
10.323156191454128,45.2319406,-111.4763101
9.796855030073154,45.2320601,-111.4762411
9.774241881100467,45.2321799,-111.4761741
9.924379471608438,45.2322997,-111.4761038
9.522861868091177,45.2324208,-111.4760371
10.441707140488681,45.2325404,-111.4759666
9.5552138504493,45.2326618,-111.4759003
10.054830749090062,45.2327823,-111.4758298
9.490093709005606,45.2329017,-111.4757599
9.604715143353227,45.2330214,-111.4756921
9.191028135635706,45.2331201,-111.4756338
7.466206318341745,45.2331159,-111.4755091
10.001899521104262,45.233047,-111.4754676
9.220569108687567,45.2329451,-111.475526
8.926289813065932,45.2328259,-111.4755971
8.986980403608854,45.2327065,-111.4756661
8.769475206607567,45.2325868,-111.475736
9.136416120840254,45.232469,-111.4758043
9.704344454297598,45.2323482,-111.4758742
10.083657210046072,45.2322276,-111.475942
9.826727309812414,45.2321085,-111.4760115
10.193676416460274,45.2319895,-111.47608
10.345469971769017,45.2318695,-111.4761533
11.017738467069762,45.231751,-111.4762229
11.999893588833977,45.2316317,-111.476289
11.01336957582102,45.2315108,-111.4763592
11.592210054114355,45.2313983,-111.4764237
11.74513873436293,45.2313217,-111.47646
