"reflectance","latitude","longitude"
11.5023330393127,45.2336467,-111.4774781
11.9290100802989,45.2335799,-111.4775499
11.7684470030568,45.233467,-111.4776118
12.5921208493502,45.2333451,-111.477682
12.1958333883395,45.2332242,-111.4777511
13.506240084314,45.233104,-111.477821
14.1665540779736,45.2329844,-111.4778911
14.6831290423498,45.2328639,-111.4779601
13.9057214691232,45.2327452,-111.4780287
12.6313404168023,45.2326262,-111.4780981
13.215888920426,45.2325051,-111.4781668
11.5542952976053,45.2323852,-111.4782369
11.7037487573412,45.2322647,-111.4783061
12.7301623135334,45.2321432,-111.4783761
12.5421734514088,45.2320257,-111.4784449
11.9462013685701,45.2319307,-111.4784893
11.8106281191265,45.2318776,-111.4783749
13.2795899916092,45.2319261,-111.4782884
12.3686155981468,45.2320304,-111.4782321
11.7350935659067,45.2321523,-111.4781662
11.7930794791582,45.2322721,-111.4780975
11.7919288436232,45.2323922,-111.4780307
12.0984115153105,45.2325125,-111.477963
11.9673332229412,45.2326324,-111.4778974
12.4479464917337,45.2327527,-111.4778308
12.8693353550713,45.2328752,-111.4777644
13.0111405852786,45.2329951,-111.4776956
12.8805791224023,45.2331158,-111.4776285
12.1825940485633,45.233236,-111.4775611
12.7550799689452,45.2333565,-111.4774935
12.8119081761822,45.2334764,-111.4774247
11.2186868074699,45.2335765,-111.4773648
10.0285759209135,45.2335894,-111.4772491
12.499867868744,45.2335264,-111.4771932
10.9286494052698,45.2334253,-111.4772584
11.0894770087636,45.2333069,-111.4773263
11.4123196256256,45.2331872,-111.4773937
11.9613372007638,45.2330663,-111.4774591
11.9774343103417,45.2329453,-111.4775278
12.2538828859466,45.2328251,-111.4775956
12.2301572732814,45.2327042,-111.4776637
11.5718876443174,45.2325828,-111.4777315
11.1239836585148,45.2324638,-111.4777993
10.2435679660633,45.2323433,-111.4778668
10.5331242765116,45.2322234,-111.4779331
10.7707649229376,45.2321034,-111.4780025
10.6160390845093,45.231983,-111.4780711
9.83248102677295,45.2318779,-111.4781289
8.51309009093456,45.231805,-111.4781021
11.2840865832265,45.2317922,-111.47798
9.69336232333269,45.231881,-111.4779356
9.72436453252832,45.2319973,-111.4778707
9.87938207155477,45.2321172,-111.4778023
10.0110464390471,45.2322373,-111.4777353
9.39259866336797,45.2323575,-111.477667
12.5183566735694,45.2324764,-111.4775988
9.96824786009522,45.2325961,-111.4775297
10.1969882635702,45.2327162,-111.4774609
10.3442511649819,45.2328357,-111.4773922
10.3852074156395,45.2329569,-111.4773249
10.3855913179488,45.2330763,-111.4772544
10.1358803005772,45.233196,-111.4771852
11.0663430956989,45.2333147,-111.4771169
9.22042283498409,45.2334289,-111.4770483
7.70692924099331,45.233509,-111.4769817
9.48818815869695,45.2334722,-111.4768432
9.48785337788794,45.2333876,-111.4768715
9.13369702749576,45.2332753,-111.4769399
9.63790306682935,45.2331552,-111.4770068
9.9711933713261,45.2330349,-111.4770772
9.65402035970864,45.2329126,-111.4771461
10.0049854948347,45.232793,-111.4772147
9.43053941541597,45.2326724,-111.4772842
10.1019704226731,45.2325531,-111.4773506
8.77974932689265,45.232433,-111.4774188
8.23492237289897,45.2323134,-111.4774883
7.97956075088318,45.2321945,-111.4775578
8.15071231178223,45.2320756,-111.4776248
8.28919928312077,45.2319562,-111.4776934
8.39784252602605,45.2318368,-111.477761
8.12854848228755,45.2317373,-111.4778063
7.6388084291112,45.2316814,-111.4777035
9.06768766465827,45.231724,-111.4776138
7.93897385037873,45.2318269,-111.4775567
8.37339174839076,45.2319462,-111.4774875
8.2415406308154,45.232067,-111.4774193
8.62691028014623,45.2321866,-111.4773525
8.46320634624478,45.2323062,-111.4772852
7.70569948614533,45.2324273,-111.4772183
8.92576396550111,45.2325474,-111.4771471
8.52304524293389,45.232668,-111.4770805
8.81431604345627,45.2327883,-111.4770113
9.07681673239794,45.232908,-111.4769432
8.96716412177395,45.2330291,-111.4768758
9.27930520953491,45.2331498,-111.4768083
9.18241458779399,45.2332702,-111.4767387
8.95271070769154,45.2333728,-111.4766804
6.9332282401689,45.233409,-111.4765857
10.635155704805,45.2333511,-111.4764954
9.06312368395236,45.2332529,-111.4765461
9.69500126233898,45.2331351,-111.4766166
9.76871578679475,45.2330156,-111.4766859
9.20813783620693,45.2328954,-111.4767538
9.45925042857692,45.2327754,-111.4768221
8.89799857713291,45.2326542,-111.4768904
8.55619263789301,45.2325342,-111.4769604
8.82523936040434,45.2324142,-111.4770283
8.92952212762577,45.2322935,-111.4770966
9.21551700674248,45.2321741,-111.4771643
9.59969135221058,45.2320536,-111.4772337
9.78295475145318,45.2319341,-111.4773025
9.6734744047924,45.2318133,-111.4773712
9.34885197163068,45.2316998,-111.4774355
7.64507848426956,45.2316135,-111.4774604
10.4616723790715,45.231577,-111.4773181
9.59232273475323,45.231654,-111.477261
9.18213311440984,45.2317658,-111.4771975
9.73785125524109,45.2318835,-111.4771268
9.517296420435,45.2320029,-111.4770586
9.59574437259296,45.2321224,-111.4769895
9.3387394819616,45.2322407,-111.4769199
9.4132251399757,45.2323609,-111.4768518
9.07628707230271,45.2324801,-111.4767828
9.3908693235221,45.2325992,-111.4767138
9.91755476768426,45.2327178,-111.4766436
10.0312986544482,45.2328381,-111.4765747
10.132304299999,45.2329578,-111.4765063
10.7575009112946,45.2330777,-111.4764383
10.2036638658554,45.2331974,-111.4763703
11.1508380849352,45.2332953,-111.4763191
8.28034673123676,45.2333019,-111.4762026
11.532699080175,45.2332353,-111.4761466
11.1217176783034,45.233132,-111.4762016
11.581369530157,45.2330128,-111.4762735
11.136501258248,45.2328936,-111.4763455
11.1183405982783,45.2327744,-111.4764157
10.3039126399882,45.2326563,-111.4764836
9.92926911120649,45.2325365,-111.4765535
10.4799528058259,45.2324163,-111.4766229
10.6045751662723,45.2322955,-111.4766942
11.4334248545296,45.2321773,-111.4767641
10.6636640458562,45.2320598,-111.4768341
11.8373209235019,45.2319395,-111.4769041
10.2481074053099,45.2318213,-111.4769736
10.5810120300995,45.2317026,-111.4770447
9.96871930223366,45.2315928,-111.4771082
7.94238181800468,45.2315109,-111.4771051
12.351140858577,45.2314841,-111.4769702
10.8725636210673,45.2315683,-111.4769126
10.528029452706,45.2316848,-111.4768459
10.7297713356925,45.2318037,-111.4767762
11.1704423264904,45.2319227,-111.4767069
10.5536893110441,45.2320426,-111.4766385
10.4235268312523,45.2321616,-111.47657
10.0170560770892,45.23228,-111.4765003
9.55823098203942,45.2324008,-111.4764327
10.2145920504455,45.2325202,-111.4763641
10.3350869803899,45.232639,-111.4762959
11.0324246315361,45.2327577,-111.4762252
11.3452133986492,45.2328772,-111.4761574
10.4102574367267,45.2329976,-111.4760914
10.1533356700827,45.2331168,-111.476022
10.1061051190746,45.2332122,-111.4759747
8.51494726061652,45.2332093,-111.4758439
10.2044390140667,45.2331391,-111.4758169
9.95601010735305,45.2330353,-111.4758794
10.1125707006731,45.2329147,-111.4759484
9.72089090234874,45.2327949,-111.4760174
9.42816910729183,45.2326736,-111.4760844
9.73307384487978,45.2325522,-111.4761532
10.1738984157377,45.2324315,-111.4762231
9.52644874195352,45.2323122,-111.476291
9.434024990395,45.232191,-111.4763611
9.38647477953609,45.2320706,-111.4764298
9.55074951773305,45.2319509,-111.4764994
9.76918611011897,45.2318315,-111.4765666
10.5665942755209,45.231711,-111.4766359
10.713569216194,45.2315905,-111.4767063
10.9606636516087,45.2314839,-111.4767697
7.68853949237888,45.2314068,-111.4767666
13.4253959061019,45.2313836,-111.4766268
9.85306519330599,45.2314677,-111.4765799
10.2428278188138,45.2315822,-111.4765155
10.4877788047675,45.2317028,-111.4764467
10.2086905280171,45.2318211,-111.4763771
10.3231561914541,45.2319406,-111.4763101
9.79685503007315,45.2320601,-111.4762411
9.77424188110047,45.2321799,-111.4761741
9.92437947160844,45.2322997,-111.4761038
9.52286186809118,45.2324208,-111.4760371
10.4417071404887,45.2325404,-111.4759666
9.5552138504493,45.2326618,-111.4759003
10.0548307490901,45.2327823,-111.4758298
9.49009370900561,45.2329017,-111.4757599
9.60471514335323,45.2330214,-111.4756921
9.19102813563571,45.2331201,-111.4756338
7.46620631834174,45.2331159,-111.4755091
10.0018995211043,45.233047,-111.4754676
9.22056910868757,45.2329451,-111.475526
8.92628981306593,45.2328259,-111.4755971
8.98698040360885,45.2327065,-111.4756661
8.76947520660757,45.2325868,-111.475736
9.13641612084025,45.232469,-111.4758043
9.7043444542976,45.2323482,-111.4758742
10.0836572100461,45.2322276,-111.475942
9.82672730981241,45.2321085,-111.4760115
10.1936764164603,45.2319895,-111.47608
10.345469971769,45.2318695,-111.4761533
11.0177384670698,45.231751,-111.4762229
11.999893588834,45.2316317,-111.476289
11.013369575821,45.2315108,-111.4763592
11.5922100541144,45.2313983,-111.4764237
11.7451387343629,45.2313217,-111.47646
11.2346906426552,45.2313183,-111.47646
